,V_ID,108|kmeans_6,108|kmeans_nocity_9,108|kmeans_nocity&county_7,108|c_,108|j_,108|ht_,108|s_,108|cs_,108|e_
0,65000090-001,0,4,5,0,1,8,0,2,0
1,65000090-004,0,4,5,0,0,8,0,2,0
2,65000090-025,0,4,5,0,0,3,0,2,0
3,65000090-026,1,6,1,0,0,13,1,6,0
4,65000090-014,1,6,1,0,1,13,1,6,0
5,65000090-023,0,4,5,0,0,3,0,13,0
6,65000090-003,0,4,5,0,0,8,0,2,0
7,65000090-011,1,0,3,0,1,13,1,0,0
8,65000090-010,0,4,5,0,0,13,0,2,0
9,65000090-021,1,0,3,0,1,13,2,0,0
10,65000090-024,0,4,5,1,0,8,0,2,0
11,65000090-005,1,0,3,0,1,13,1,0,0
12,65000090-020,1,0,3,0,1,13,1,0,0
13,65000090-015,1,0,3,0,1,13,1,0,0
14,65000090-016,1,0,3,0,1,13,2,0,0
15,65000090-006,1,6,1,0,0,13,2,6,1
16,65000090-012,1,7,3,0,1,13,1,2,0
17,65000090-017,0,6,1,0,1,13,0,6,2
18,65000090-018,0,0,5,0,1,3,0,0,0
19,65000090-019,1,0,3,0,0,13,1,0,0
20,65000090-007,0,4,5,0,0,8,0,2,0
21,65000090-002,0,5,5,0,1,8,0,2,1
22,65000090-022,1,0,3,0,1,13,1,0,0
23,65000090-013,1,6,1,0,1,13,1,6,0
24,65000090-008,0,4,5,0,0,3,0,2,2
25,65000090-009,0,4,5,0,0,8,0,2,0
26,65000090-027,0,0,5,1,2,3,0,0,0
27,65000090-028,0,4,5,1,1,3,0,2,0
28,65000210-001,1,6,1,0,1,1,2,6,0
29,65000210-003,0,0,5,0,1,3,0,0,2
30,65000210-011,1,6,1,0,1,1,2,6,0
31,65000210-005,0,4,5,0,0,3,0,2,0
32,65000210-002,0,4,5,0,0,3,0,2,0
33,65000210-012,1,0,3,0,1,0,2,0,0
34,65000210-009,1,6,1,0,1,1,1,6,2
35,65000210-004,0,4,5,0,1,3,0,2,2
36,65000210-007,1,0,3,0,1,1,2,0,0
37,65000210-010,0,6,1,0,1,3,0,6,0
38,65000210-013,1,0,3,0,1,0,2,0,0
39,65000210-006,0,6,1,0,1,3,0,6,0
